packet_id	n_blocks	top_mode	mode_margin	signal_strength	block_stability	composition_score	stress_score	matched_state_balance	negative_control_margin	missing_fraction	v_tag	mode_correlation_activation	mode_correlation_suppression	mode_correlation_delay	mode_correlation_persistent_loss	mode_correlation_redirection
F0331	2	delay	0.20872713911257773	0.4014082205488066	1.0	0.6496935257135842	0.17850704077615445	0.5363718980305712	0.0	0.12295081967213115	none	0.28990649883914943	-0.28990649883914943	0.49863363795172716	-0.4887506140646744	-0.5902503495121219
F0332	2	delay	0.2655013902508069	0.3485761112111644	1.0	0.6953268806673296	0.14926130084729333	0.5987045779558601	0.0	0.09016393442622951	outcome	0.19268850596412115	-0.19268850596412115	0.458189896214928	-0.3970532043512709	-0.460436959512513
F0333	2	delay	0.33069917347003586	0.5784234249169411	1.0	0.6792757126586167	0.1594919928440087	0.5941206180240238	0.10778183581392609	0.11475409836065574	reversal	0.2477242514469052	-0.2477242514469052	0.5784234249169411	-0.47935358658824173	-0.6647430762609471
F0334	2	delay	0.1829474196307282	0.4566255086121318	1.0	0.6891978822228054	0.1641188585254631	0.5632117058740764	0.06942518446806645	0.08196721311475409	rescue	0.2736780889814036	-0.2736780889814036	0.4566255086121318	-0.4581719396181814	-0.5825980298563787
F0335	2	delay	0.5549879301109214	0.7247035870243951	1.0	0.7168876071674686	0.15014180281393918	0.5864565348699813	0.2530561403061955	0.13934426229508196	replication	0.16971565691347365	-0.16971565691347365	0.7247035870243951	-0.46510598719277463	-0.7799031770739221
F0336	3	delay	0.10604292144445382	0.3956881823913132	1.0	0.7392128926889482	0.16393567172540946	0.5900010897486128	0.0	0.1092896174863388	none	0.41750281812688406	-0.41750281812688406	0.5235457395713379	-0.6547466271106066	-0.614442200846051
F0337	3	delay	0.39977981430324794	0.6352726411543783	1.0	0.696385837672644	0.15590691197044046	0.5607161828520868	0.0	0.13114754098360656	outcome	0.2877248948674582	-0.2877248948674582	0.6875047091707062	-0.5743551455410439	-0.7762007068038895
F0338	3	delay	0.4856524821665902	0.7231880917010124	1.0	0.6871042472721901	0.15245756910080657	0.5616209047864926	0.024435851839298306	0.1366120218579235	reversal	0.276625103387691	-0.276625103387691	0.7622775855542812	-0.5905242508975457	-0.8342359631490999
F0339	3	delay	0.274746479185068	0.39892893427559417	1.0	0.6960762793326356	0.15263154346963415	0.5309066717394253	0.0	0.13114754098360656	rescue	0.2881123054632262	-0.2881123054632262	0.5628587846482942	-0.5172151686471731	-0.6634913294747325
F0340	3	delay	0.3184972887183963	0.5670121932900009	1.0	0.7584228413421678	0.15221455560783118	0.5733551510010284	0.0	0.1366120218579235	replication	0.29395619799850775	-0.29395619799850775	0.612453486716904	-0.5371714882368787	-0.7157339338576713
