trajectory	contrast	pathway	day	delta_auc_day	direction_day	main_direction	direction_consistent	n_cells_case	n_cells_reference
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INFLAMMATORY_RESPONSE	D9	-0.1016280800104141	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INFLAMMATORY_RESPONSE	D11	-0.0246082451194524	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INTERFERON_GAMMA_RESPONSE	D7	-0.1525351554155349	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INTERFERON_GAMMA_RESPONSE	D9	-0.1266249716281891	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INTERFERON_GAMMA_RESPONSE	D11	-0.0027912035584449	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V1	D7	-0.5670698881149292	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V1	D9	-0.6783175468444824	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V1	D11	-0.2988088428974151	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V2	D7	-0.4118123054504394	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V2	D9	-0.4490646719932556	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V2	D11	-0.2574240565299988	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	HEME_GLOBIN	D7	-0.2856417000293731	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	HEME_GLOBIN	D9	-0.3085126876831054	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	HEME_GLOBIN	D11	-0.4130044281482696	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	IRON_TRANSPORT	D7	-0.3326820135116577	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	IRON_TRANSPORT	D9	-0.271698921918869	negative	negative	True	9157	9336
