protein_name	target_gene	n_cells	mean_score	control_mean_score	effect_size_vs_control	p_value	q_value	direction	block_support	direction_stability
Mouse_IgG2b	TFAP2A	611	-0.017655333567104498	-0.0015461932291617843	-0.016109140337942713	0.24576380678545034	0.8574135494880468	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TGFB1	715	-0.014653777688387477	-0.0015461932291617843	-0.013107584459225692	0.3527599050796465	0.8693703903751292	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TIMM50	341	0.02129287359958424	-0.0015461932291617843	0.022839066828746025	0.32636836520755697	0.8693703903751292	up	1.0	1.0
Mouse_IgG2b	TIMP1	615	-0.02003028569420159	-0.0015461932291617843	-0.018484092465039806	0.2359726828149296	0.8574135494880468	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TIMP2	466	-0.01743986842709147	-0.0015461932291617843	-0.015893675197929686	0.34942697480549967	0.8693703903751292	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TIMP3	511	0.044656580326613064	-0.0015461932291617843	0.046202773555774845	0.0164490464050363	0.3678604923308118	up	1.0	1.0
Mouse_IgG2b	TM4SF1	599	-0.02433796959690914	-0.0015461932291617843	-0.022791776367747357	0.12214341917135924	0.7395782017630917	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TMED10	163	0.02742655808241018	-0.0015461932291617843	0.028972751311571964	0.3550849578826327	0.8693703903751292	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TMEM173	583	-0.017638774300155296	-0.0015461932291617843	-0.01609258107099351	0.26590042056109076	0.8693703903751292	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	TOP1MT	537	0.02823161105993992	-0.0015461932291617843	0.029777804289101706	0.09843459308348458	0.7395782017630917	up	1.0	1.0
Mouse_IgG2b	TP53	554	0.001476300034419105	-0.0015461932291617843	0.003022493263580889	0.844652021569608	0.972163633529955	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TPP1	562	0.009536596816140278	-0.0015461932291617843	0.011082790045302063	0.4852247838293936	0.8794490090752611	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TPRKB	172	0.017939834699205383	-0.0015461932291617843	0.019486027928367167	0.4910908480058829	0.8794490090752611	up	1.0	1.0
Mouse_IgG2b	TRIM22	450	0.016931477427045347	-0.0015461932291617843	0.018477670656207132	0.31464152237011395	0.8693703903751292	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TSC22D3	681	0.030900220357795747	-0.0015461932291617843	0.03244641358695753	0.03842238614552941	0.5559945289294257	up	1.0	1.0
Mouse_IgG2b	TTLL1	673	0.021054809071305917	-0.0015461932291617843	0.0226010023004677	0.13840761901577323	0.7955627130105128	up	1.0	1.0
Mouse_IgG2b	TXNDC17	498	0.010482641283039834	-0.0015461932291617843	0.012028834512201618	0.49782720184317786	0.8794490090752611	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TYR	665	0.0007112011478530108	-0.0015461932291617843	0.002257394377014795	0.8822242390213351	0.972163633529955	up	1.0	1.0
Mouse_IgG2b	UBA52	42	-0.028858081705661197	-0.0015461932291617843	-0.027311888476499412	0.6556246988688879	0.9385783564330473	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	UBC	226	0.05632230651341168	-0.0015461932291617843	0.05786849974257346	0.048851304648577225	0.658202421214195	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	UCN2	473	0.0094856054391157	-0.0015461932291617843	0.011031798668277484	0.5415500423190148	0.8941027544327359	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	UQCRFS1	299	-0.017434207404373014	-0.0015461932291617843	-0.01588801417521123	0.4711929245221588	0.8794490090752611	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	UQCRH	216	-0.002127899440307995	-0.0015461932291617843	-0.0005817062111462105	0.9805823839419814	0.9946774933295354	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	VAT1	425	0.012899351860333681	-0.0015461932291617843	0.014445545089495465	0.46561561285339637	0.8794490090752611	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	VDAC2	595	0.0314965255596305	-0.0015461932291617843	0.03304271878879228	0.06893532817662827	0.7395782017630917	up	1.0	1.0
Mouse_IgG2b	WBP2	605	0.02438182344621386	-0.0015461932291617843	0.025928016675375646	0.11850531762738944	0.7395782017630917	up	1.0	1.0
Mouse_IgG2b	WNT7A	606	-0.018662629381430523	-0.0015461932291617843	-0.017116436152268738	0.23589050477574167	0.8574135494880468	down	1.0	1.0
Mouse_IgG2b	XAGE1A	403	0.015757302015853774	-0.0015461932291617843	0.01730349524501556	0.38791465585723606	0.8693703903751292	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	control	34577	-0.0015461932291617843	-0.0015461932291617843	0.0	1.0	1.0	flat		
HLA_E	A2M	1331	-0.019015678460928716	0.004542059181427508	-0.023557737642356226	0.15094482342065305	0.6903494037381996	down	0.6666666666666666	0.6666666666666666
HLA_E	ACSL3	596	0.014774710237584407	0.004542059181427508	0.0102326510561569	0.6824717714757957	0.9625636687285074	up	0.6666666666666666	0.6666666666666666
HLA_E	ACTA2	1458	0.008824218871992797	0.004542059181427508	0.00428215969056529	0.7871024977639632	0.9625636687285074	up	0.3333333333333333	0.3333333333333333
HLA_E	AEBP1	1302	-0.001904154403971628	0.004542059181427508	-0.0064462135853991355	0.698027857707963	0.9625636687285074	down	1.0	1.0
HLA_E	AGA	1116	-0.01479956033703291	0.004542059181427508	-0.019341619518460418	0.25921983595273385	0.8478422089147429	down	0.3333333333333333	0.3333333333333333
HLA_E	AHCY	88	-0.0418172327904825	0.004542059181427508	-0.04635929197191001	0.4862891070250517	0.9220111589905085	down	1.0	1.0
HLA_E	AHNAK	1058	-0.007867367361575527	0.004542059181427508	-0.012409426543003034	0.5008485912188922	0.9220111589905085	down	0.6666666666666666	0.6666666666666666
HLA_E	APOC2	1137	-0.012244262736076528	0.004542059181427508	-0.016786321917504038	0.3405475782561491	0.8730910667379577	down	1.0	1.0
HLA_E	APOD	1113	0.03284856107813119	0.004542059181427508	0.02830650189670368	0.13542467102254072	0.6903494037381996	up	0.6666666666666666	0.6666666666666666
HLA_E	APOE	1127	0.004638016339177469	0.004542059181427508	9.595715774996134e-05	0.9957602138940778	1.0	up	0.3333333333333333	0.3333333333333333
HLA_E	ARMC6	907	0.004836634793842614	0.004542059181427508	0.0002945756124151065	0.9880266124523951	1.0	up	0.3333333333333333	0.3333333333333333
HLA_E	ATP1A1	47	0.07826524966349019	0.004542059181427508	0.07372319048206268	0.47266229658397296	0.9205014075905328	up	0.6666666666666666	0.6666666666666666
